timestamp,event_name,event_type,department,rating,feedback_comment,satisfaction_bucket,comment_length,word_count,sentiment_score,sentiment_label
02-11-2024 04:18,AI Ethics in Industry,Guest Lecture,CSE,2,"AI Ethics in Industry (Guest Lecture) had issues with wifi, registration, air conditioning.",Low,91,13,0,Neutral
07-09-2024 17:17,UX Research in the Wild,Guest Lecture,CHE,4,"UX Research in the Wild (Guest Lecture) was useful takeaways, good pace.",High,72,12,0.7003,Positive
21-07-2025 04:46,Intro to Machine Learning,Workshop,CHE,5,"Intro to Machine Learning (Workshop) was clear slides, learnt a lot.",High,68,11,0.3818,Positive
14-08-2025 23:33,Smart City Hack,Hackathon,BIO,2,"Smart City Hack (Hackathon) had issues with wifi, timing, seating.",Low,66,10,0.4019,Positive
10-10-2024 23:06,Green Energy Futures,Seminar,CE,4,"Green Energy Futures (Seminar) was excellent speakers, supportive volunteers, good pace.",High,88,11,0.872,Positive
23-05-2025 19:11,Leadership & Teams,Seminar,EEE,4,"Leadership & Teams (Seminar) was supportive volunteers, inspiring.",High,66,8,0.6124,Positive
13-06-2025 20:57,24hr HealthTech Hack,Hackathon,CHE,4,"24hr HealthTech Hack (Hackathon) was interactive sessions, useful takeaways, great venue.",High,89,11,0.7906,Positive
04-03-2025 21:41,InnovateX Tech Expo,Tech Fest,CE,4,"InnovateX Tech Expo (Tech Fest) was excellent speakers, learnt a lot, supportive volunteers.",High,92,13,0.7096,Positive
17-08-2025 03:53,Product Management Myths,Guest Lecture,ME,4,"Product Management Myths (Guest Lecture) was great venue, learnt a lot, hands-on and practical.",High,95,14,0.6249,Positive
15-04-2025 23:29,Cloud & DevOps Fair,Tech Fest,ME,2,"Cloud & DevOps Fair (Tech Fest) had issues with projector, registration, seating.",Low,81,12,0.3182,Positive
05-02-2025 06:01,UX Research in the Wild,Guest Lecture,CHE,1,UX Research in the Wild (Guest Lecture) had issues with air conditioning.,Low,73,12,0,Neutral
09-12-2024 03:08,ByteBlast Coding Games,Tech Fest,CSE,5,"ByteBlast Coding Games (Tech Fest) was good pace, hands-on and practical, excellent speakers.",High,93,13,0.765,Positive
03-11-2024 21:20,Product Management Myths,Guest Lecture,CE,4,"Product Management Myths (Guest Lecture) was good pace, interactive sessions, inspiring.",High,88,11,0.6908,Positive
16-06-2025 23:35,Cybersecurity Basics,Workshop,CHE,4,"Cybersecurity Basics (Workshop) was supportive volunteers, useful takeaways, good pace.",High,87,10,0.7906,Positive
09-11-2024 03:22,Intro to Machine Learning,Workshop,CHE,5,"Intro to Machine Learning (Workshop) was excellent speakers, well organized, supportive volunteers.",High,99,12,0.7906,Positive
06-03-2025 02:41,Space Tech & You,Guest Lecture,AE,2,Space Tech & You (Guest Lecture) had issues with venue.,Low,55,10,0,Neutral
06-08-2025 04:19,Stagecraft Theatre,Cultural Fest,CHE,3,"Stagecraft Theatre (Cultural Fest) was slides were decent, okay overall.",Medium,72,10,0.2263,Positive
11-11-2024 00:12,The Entrepreneur’s Journey,Guest Lecture,EEE,4,"The Entrepreneur’s Journey (Guest Lecture) was excellent speakers, hands-on and practical, good pace.",High,101,13,0.765,Positive
08-05-2025 19:07,UX Research in the Wild,Guest Lecture,EEE,3,"UX Research in the Wild (Guest Lecture) was timing was manageable, average experience.",Medium,86,13,0,Neutral
13-11-2024 02:01,Product Management Myths,Guest Lecture,CHE,4,"Product Management Myths (Guest Lecture) was very engaging, great venue.",High,72,10,0.7947,Positive
31-08-2024 19:11,Rhythm & Beats Night,Cultural Fest,AE,3,"Rhythm & Beats Night (Cultural Fest) was could be more interactive, topics were fine.",Medium,85,14,0.2023,Positive
01-10-2024 18:58,Careers in Data,Seminar,CE,5,"Careers in Data (Seminar) was learnt a lot, useful takeaways.",High,61,10,0.4404,Positive
27-10-2024 03:42,24hr HealthTech Hack,Hackathon,CHE,3,"24hr HealthTech Hack (Hackathon) was slides were decent, average experience.",Medium,76,10,0,Neutral
28-01-2025 23:54,Colours of India,Cultural Fest,EEE,4,"Colours of India (Cultural Fest) was learnt a lot, clear slides, supportive volunteers.",High,87,13,0.5859,Positive
23-09-2024 22:13,Product Management Myths,Guest Lecture,BIO,4,"Product Management Myths (Guest Lecture) was excellent speakers, learnt a lot, interactive sessions.",High,100,13,0.5719,Positive
11-07-2025 17:26,Dance Mania,Cultural Fest,CE,4,"Dance Mania (Cultural Fest) was well organized, excellent speakers.",High,67,9,0.7003,Positive
12-01-2025 03:43,InnovateX Tech Expo,Tech Fest,MBA,5,"InnovateX Tech Expo (Tech Fest) was clear slides, learnt a lot.",High,63,11,0.3818,Positive
27-11-2024 18:18,Figma for Beginners,Workshop,ME,4,"Figma for Beginners (Workshop) was learnt a lot, inspiring, good pace.",High,70,11,0.6908,Positive
02-08-2025 03:53,Space Tech & You,Guest Lecture,MBA,4,"Space Tech & You (Guest Lecture) was good pace, inspiring, well organized.",High,74,12,0.7783,Positive
28-11-2024 01:40,InnovateX Tech Expo,Tech Fest,IT,5,"InnovateX Tech Expo (Tech Fest) was excellent speakers, learnt a lot, interactive sessions.",High,91,13,0.5719,Positive
06-04-2025 06:07,Power BI Essentials,Workshop,ME,4,"Power BI Essentials (Workshop) was inspiring, learnt a lot, excellent speakers.",High,79,11,0.7579,Positive
15-11-2024 23:43,Rhythm & Beats Night,Cultural Fest,CSE,4,"Rhythm & Beats Night (Cultural Fest) was excellent speakers, learnt a lot.",High,74,12,0.5719,Positive
04-03-2025 17:36,Smart City Hack,Hackathon,IT,3,"Smart City Hack (Hackathon) was okay overall, average experience.",Medium,65,9,0.5574,Positive
03-06-2025 03:57,The Future of EVs,Seminar,EEE,3,"The Future of EVs (Seminar) was topics were fine, room was adequate.",Medium,68,12,0.4019,Positive
21-09-2024 02:59,Smart City Hack,Hackathon,CE,3,"Smart City Hack (Hackathon) was could be more interactive, average experience.",Medium,78,11,0.4019,Positive
24-04-2025 02:10,Rhythm & Beats Night,Cultural Fest,MBA,5,"Rhythm & Beats Night (Cultural Fest) was well organized, useful takeaways.",High,74,11,0.6124,Positive
22-06-2025 18:55,Colours of India,Cultural Fest,CSE,5,"Colours of India (Cultural Fest) was very engaging, excellent speakers.",High,71,10,0.7698,Positive
12-09-2024 02:17,Power BI Essentials,Workshop,ECE,4,"Power BI Essentials (Workshop) was useful takeaways, supportive volunteers.",High,75,9,0.6249,Positive
22-12-2024 21:37,Campus Problem Solver,Hackathon,AE,5,"Campus Problem Solver (Hackathon) was hands-on and practical, learnt a lot, great venue.",High,88,13,0.34,Positive
27-08-2024 00:51,Cybersecurity Basics,Workshop,EEE,2,"Cybersecurity Basics (Workshop) had issues with audio, food.",Low,60,8,0,Neutral
