Timestamp,Event_Name,Event_Type,Department,Rating,Feedback_Comment
02-11-2024 04:18,AI Ethics in Industry,Guest Lecture,CSE,2,"AI Ethics in Industry (Guest Lecture) had issues with wifi, registration, air conditioning."
07-09-2024 17:17,UX Research in the Wild,Guest Lecture,CHE,4,"UX Research in the Wild (Guest Lecture) was useful takeaways, good pace."
21-07-2025 04:46,Intro to Machine Learning,Workshop,CHE,5,"Intro to Machine Learning (Workshop) was clear slides, learnt a lot."
14-08-2025 23:33,Smart City Hack,Hackathon,BIO,2,"Smart City Hack (Hackathon) had issues with wifi, timing, seating."
10-10-2024 23:06,Green Energy Futures,Seminar,CE,4,"Green Energy Futures (Seminar) was excellent speakers, supportive volunteers, good pace."
23-05-2025 19:11,Leadership & Teams,Seminar,EEE,4,"Leadership & Teams (Seminar) was supportive volunteers, inspiring."
13-06-2025 20:57,24hr HealthTech Hack,Hackathon,CHE,4,"24hr HealthTech Hack (Hackathon) was interactive sessions, useful takeaways, great venue."
04-03-2025 21:41,InnovateX Tech Expo,Tech Fest,CE,4,"InnovateX Tech Expo (Tech Fest) was excellent speakers, learnt a lot, supportive volunteers."
17-08-2025 03:53,Product Management Myths,Guest Lecture,ME,4,"Product Management Myths (Guest Lecture) was great venue, learnt a lot, hands-on and practical."
15-04-2025 23:29,Cloud & DevOps Fair,Tech Fest,ME,2,"Cloud & DevOps Fair (Tech Fest) had issues with projector, registration, seating."
05-02-2025 06:01,UX Research in the Wild,Guest Lecture,CHE,1,UX Research in the Wild (Guest Lecture) had issues with air conditioning.
09-12-2024 03:08,ByteBlast Coding Games,Tech Fest,CSE,5,"ByteBlast Coding Games (Tech Fest) was good pace, hands-on and practical, excellent speakers."
03-11-2024 21:20,Product Management Myths,Guest Lecture,CE,4,"Product Management Myths (Guest Lecture) was good pace, interactive sessions, inspiring."
16-06-2025 23:35,Cybersecurity Basics,Workshop,CHE,4,"Cybersecurity Basics (Workshop) was supportive volunteers, useful takeaways, good pace."
09-11-2024 03:22,Intro to Machine Learning,Workshop,CHE,5,"Intro to Machine Learning (Workshop) was excellent speakers, well organized, supportive volunteers."
06-03-2025 02:41,Space Tech & You,Guest Lecture,AE,2,Space Tech & You (Guest Lecture) had issues with venue.
06-08-2025 04:19,Stagecraft Theatre,Cultural Fest,CHE,3,"Stagecraft Theatre (Cultural Fest) was slides were decent, okay overall."
11-11-2024 00:12,The Entrepreneur’s Journey,Guest Lecture,EEE,4,"The Entrepreneur’s Journey (Guest Lecture) was excellent speakers, hands-on and practical, good pace."
08-05-2025 19:07,UX Research in the Wild,Guest Lecture,EEE,3,"UX Research in the Wild (Guest Lecture) was timing was manageable, average experience."
13-11-2024 02:01,Product Management Myths,Guest Lecture,CHE,4,"Product Management Myths (Guest Lecture) was very engaging, great venue."
31-08-2024 19:11,Rhythm & Beats Night,Cultural Fest,AE,3,"Rhythm & Beats Night (Cultural Fest) was could be more interactive, topics were fine."
01-10-2024 18:58,Careers in Data,Seminar,CE,5,"Careers in Data (Seminar) was learnt a lot, useful takeaways."
27-10-2024 03:42,24hr HealthTech Hack,Hackathon,CHE,3,"24hr HealthTech Hack (Hackathon) was slides were decent, average experience."
28-01-2025 23:54,Colours of India,Cultural Fest,EEE,4,"Colours of India (Cultural Fest) was learnt a lot, clear slides, supportive volunteers."
23-09-2024 22:13,Product Management Myths,Guest Lecture,BIO,4,"Product Management Myths (Guest Lecture) was excellent speakers, learnt a lot, interactive sessions."
11-07-2025 17:26,Dance Mania,Cultural Fest,CE,4,"Dance Mania (Cultural Fest) was well organized, excellent speakers."
12-01-2025 03:43,InnovateX Tech Expo,Tech Fest,MBA,5,"InnovateX Tech Expo (Tech Fest) was clear slides, learnt a lot."
27-11-2024 18:18,Figma for Beginners,Workshop,ME,4,"Figma for Beginners (Workshop) was learnt a lot, inspiring, good pace."
02-08-2025 03:53,Space Tech & You,Guest Lecture,MBA,4,"Space Tech & You (Guest Lecture) was good pace, inspiring, well organized."
28-11-2024 01:40,InnovateX Tech Expo,Tech Fest,IT,5,"InnovateX Tech Expo (Tech Fest) was excellent speakers, learnt a lot, interactive sessions."
06-04-2025 06:07,Power BI Essentials,Workshop,ME,4,"Power BI Essentials (Workshop) was inspiring, learnt a lot, excellent speakers."
15-11-2024 23:43,Rhythm & Beats Night,Cultural Fest,CSE,4,"Rhythm & Beats Night (Cultural Fest) was excellent speakers, learnt a lot."
04-03-2025 17:36,Smart City Hack,Hackathon,IT,3,"Smart City Hack (Hackathon) was okay overall, average experience."
03-06-2025 03:57,The Future of EVs,Seminar,EEE,3,"The Future of EVs (Seminar) was topics were fine, room was adequate."
21-09-2024 02:59,Smart City Hack,Hackathon,CE,3,"Smart City Hack (Hackathon) was could be more interactive, average experience."
24-04-2025 02:10,Rhythm & Beats Night,Cultural Fest,MBA,5,"Rhythm & Beats Night (Cultural Fest) was well organized, useful takeaways."
22-06-2025 18:55,Colours of India,Cultural Fest,CSE,5,"Colours of India (Cultural Fest) was very engaging, excellent speakers."
12-09-2024 02:17,Power BI Essentials,Workshop,ECE,4,"Power BI Essentials (Workshop) was useful takeaways, supportive volunteers."
22-12-2024 21:37,Campus Problem Solver,Hackathon,AE,5,"Campus Problem Solver (Hackathon) was hands-on and practical, learnt a lot, great venue."
27-08-2024 00:51,Cybersecurity Basics,Workshop,EEE,2,"Cybersecurity Basics (Workshop) had issues with audio, food."
28-10-2024 23:08,Rhythm & Beats Night,Cultural Fest,ECE,5,"Rhythm & Beats Night (Cultural Fest) was clear slides, hands-on and practical."
17-08-2025 21:51,ByteBlast Coding Games,Tech Fest,MBA,4,"ByteBlast Coding Games (Tech Fest) was very engaging, inspiring, clear slides."
23-01-2025 03:18,The Entrepreneur’s Journey,Guest Lecture,CSE,3,"The Entrepreneur’s Journey (Guest Lecture) was room was adequate, timing was manageable."
09-11-2024 21:30,Web Dev Bootcamp,Workshop,ECE,5,"Web Dev Bootcamp (Workshop) was supportive volunteers, clear slides."
05-01-2025 01:43,Colours of India,Cultural Fest,MBA,5,"Colours of India (Cultural Fest) was interactive sessions, supportive volunteers."
09-02-2025 05:20,Trends in 5G,Seminar,ECE,5,"Trends in 5G (Seminar) was hands-on and practical, well organized, interactive sessions."
01-06-2025 04:39,Product Management Myths,Guest Lecture,ME,3,"Product Management Myths (Guest Lecture) was room was adequate, topics were fine."
28-05-2025 18:05,Rhythm & Beats Night,Cultural Fest,ECE,4,"Rhythm & Beats Night (Cultural Fest) was supportive volunteers, very engaging."
12-09-2024 21:35,Leadership & Teams,Seminar,CHE,4,"Leadership & Teams (Seminar) was good pace, very engaging."
20-02-2025 05:47,FutureTech Showcase,Tech Fest,CE,4,"FutureTech Showcase (Tech Fest) was interactive sessions, excellent speakers."
21-03-2025 17:23,Campus Problem Solver,Hackathon,ME,4,"Campus Problem Solver (Hackathon) was very engaging, supportive volunteers."
16-08-2025 18:36,Product Management Myths,Guest Lecture,IT,5,"Product Management Myths (Guest Lecture) was hands-on and practical, very engaging."
26-01-2025 06:07,Campus AI Day,Tech Fest,CE,4,"Campus AI Day (Tech Fest) was inspiring, great venue."
14-03-2025 22:29,Intro to Machine Learning,Workshop,CSE,3,"Intro to Machine Learning (Workshop) was room was adequate, average experience."
05-09-2024 19:08,FutureTech Showcase,Tech Fest,MBA,5,"FutureTech Showcase (Tech Fest) was interactive sessions, clear slides, great venue."
17-10-2024 02:39,Green Energy Futures,Seminar,AE,3,"Green Energy Futures (Seminar) was could be more interactive, okay overall."
08-03-2025 02:24,Design Thinking in Practice,Seminar,MBA,5,"Design Thinking in Practice (Seminar) was useful takeaways, clear slides, excellent speakers."
09-08-2025 04:59,Trends in 5G,Seminar,IT,5,"Trends in 5G (Seminar) was clear slides, supportive volunteers."
07-07-2025 22:54,UX Research in the Wild,Guest Lecture,CE,5,"UX Research in the Wild (Guest Lecture) was good pace, excellent speakers, great venue."
17-03-2025 04:30,IoT & Robotics Arena,Tech Fest,EEE,4,"IoT & Robotics Arena (Tech Fest) was interactive sessions, good pace, great venue."
04-07-2025 02:31,Colours of India,Cultural Fest,CE,4,"Colours of India (Cultural Fest) was interactive sessions, good pace, very engaging."
15-06-2025 02:53,Campus Problem Solver,Hackathon,CSE,4,"Campus Problem Solver (Hackathon) was hands-on and practical, learnt a lot, good pace."
10-12-2024 01:42,The Future of EVs,Seminar,BIO,3,"The Future of EVs (Seminar) was topics were fine, room was adequate."
09-02-2025 19:04,Startup Funding 101,Guest Lecture,ECE,5,"Startup Funding 101 (Guest Lecture) was clear slides, interactive sessions, useful takeaways."
03-09-2024 17:27,Cybersecurity Basics,Workshop,EEE,4,"Cybersecurity Basics (Workshop) was learnt a lot, very engaging."
30-11-2024 04:56,Campus Problem Solver,Hackathon,ECE,5,"Campus Problem Solver (Hackathon) was good pace, interactive sessions, useful takeaways."
24-07-2025 04:12,Sustainability Hack Night,Hackathon,IT,2,Sustainability Hack Night (Hackathon) had issues with seating.
15-05-2025 00:15,Campus AI Day,Tech Fest,CE,1,Campus AI Day (Tech Fest) had issues with projector.
05-06-2025 02:32,Colours of India,Cultural Fest,ECE,4,"Colours of India (Cultural Fest) was very engaging, inspiring, clear slides."
12-11-2024 05:07,Campus Problem Solver,Hackathon,CHE,2,"Campus Problem Solver (Hackathon) had issues with too advanced, too basic."
11-01-2025 06:01,Sustainability Hack Night,Hackathon,EEE,1,Sustainability Hack Night (Hackathon) had issues with air conditioning.
20-12-2024 21:33,Fusion Music Evening,Cultural Fest,CE,4,"Fusion Music Evening (Cultural Fest) was inspiring, excellent speakers, hands-on and practical."
07-03-2025 04:21,Leadership & Teams,Seminar,ECE,5,"Leadership & Teams (Seminar) was very engaging, learnt a lot."
17-04-2025 23:15,Startup Funding 101,Guest Lecture,ECE,4,"Startup Funding 101 (Guest Lecture) was good pace, great venue, clear slides."
05-03-2025 00:12,Power BI Essentials,Workshop,IT,1,"Power BI Essentials (Workshop) had issues with projector, timing, crowd."
25-05-2025 04:59,Careers in Data,Seminar,IT,3,"Careers in Data (Seminar) was slides were decent, topics were fine."
27-04-2025 17:36,Dance Mania,Cultural Fest,CE,5,"Dance Mania (Cultural Fest) was learnt a lot, hands-on and practical, good pace."
18-04-2025 19:51,Design Thinking in Practice,Seminar,IT,3,"Design Thinking in Practice (Seminar) was room was adequate, average experience."
29-03-2025 20:07,Rhythm & Beats Night,Cultural Fest,IT,5,"Rhythm & Beats Night (Cultural Fest) was excellent speakers, interactive sessions."
11-04-2025 22:33,Smart City Hack,Hackathon,CSE,5,"Smart City Hack (Hackathon) was good pace, great venue, learnt a lot."
25-05-2025 17:34,FinTech Innovation Sprint,Hackathon,IT,4,"FinTech Innovation Sprint (Hackathon) was excellent speakers, inspiring, well organized."
02-12-2024 17:51,Cybersecurity Basics,Workshop,ECE,4,"Cybersecurity Basics (Workshop) was well organized, learnt a lot."
